node_type_id level morphology pop_name model_type model_template
100 high blank.swc Bladaff biophysical hoc:PUD
101 NULL blank.swc PAGaff biophysical hoc:PUD
102 high blank.swc EUSaff biophysical hoc:PUD
103 NULL blank.swc IND biophysical hoc:IND
104 NULL blank.swc Hypo biophysical hoc:HYPO
105 NULL blank.swc INmplus biophysical hoc:INM
106 NULL blank.swc INmminus biophysical hoc:INM
107 low blank.swc PGN biophysical hoc:PGN
108 NULL blank.swc FB biophysical hoc:PUD
109 NULL blank.swc IMG biophysical hoc:IMG
110 NULL blank.swc MPG biophysical hoc:MPG
111 NULL blank.swc EUSmn biophysical hoc:PUD
112 NULL blank.swc Bladmn biophysical hoc:PUD
